course_eval,beauty,female,minority,nnenglish,intro,onecredit,age
4.2,1.415695,0,0,0,0,0,50
2.2,-1.422919,0,0,0,0,0,60
3,0.3918222,1,0,0,0,0,51
4.3,-0.4899626,0,0,0,1,0,43
4.6,-0.5835869,0,1,0,1,1,50
3.5,0.7566829,0,0,0,0,0,52
4.6,0.8808186,0,0,0,1,0,51
3.7,-0.5665014,0,0,0,1,0,38
3.8,0.3394037,1,0,0,1,0,47
3.6,-0.1513687,1,1,0,1,0,43
4.4,-1.024997,1,0,0,1,0,38
4.1,-0.0252444,0,0,0,1,0,43
4.3,-0.7467875,0,0,0,0,0,57
4,0.9889485,1,0,0,0,0,51
4.8,-0.5324199,0,0,0,1,1,45
3.5,-0.7668921,0,0,0,1,0,57
3.6,1.154256,1,0,0,1,0,47
3.8,1.232602,1,1,0,1,0,54
4.7,1.774334,0,0,0,1,0,58
4.9,1.773151,0,0,0,1,0,42
4.3,0.7245926,0,0,0,1,0,33
3.3,-1.181626,0,0,0,1,0,62
3.4,1.769452,1,1,0,1,0,35
3.6,-0.5872612,0,0,0,1,0,61
4,-0.0018324,1,0,0,1,0,52
3.9,-0.0566766,1,0,1,0,0,60
4.3,1.231394,0,0,0,1,0,32
3.3,0.4203998,1,1,1,0,0,42
3.7,0.2899157,1,1,0,0,0,36
3.6,0.2899157,1,1,0,0,0,36
4.4,0.2899157,1,1,0,0,0,36
4,-0.7377322,0,0,0,0,0,59
2.1,-0.7377322,0,0,0,0,0,59
3.2,-0.5719836,0,0,0,0,0,51
3.5,-0.6779634,1,0,0,0,0,40
4.1,-0.6779634,1,0,0,0,0,40
4.6,-0.6779634,1,0,0,0,0,40
3.8,-0.6779634,1,0,0,0,0,40
3.8,-0.6779634,1,0,0,0,0,40
3.8,-0.6779634,1,0,0,0,0,40
4.2,-0.6779634,1,0,0,0,0,40
3.9,1.509794,1,0,0,0,0,31
4.5,1.509794,1,0,0,0,0,31
4.5,1.509794,1,0,0,0,0,31
4.4,1.509794,1,0,0,0,0,31
4.4,1.509794,1,0,0,0,0,31
4.4,0.5885687,0,0,0,0,0,62
4.5,0.5885687,0,0,0,0,0,62
4.3,0.5885687,0,0,0,0,0,62
4.6,0.5885687,0,0,0,0,0,62
4.8,0.5885687,0,0,0,0,0,62
4.3,0.5885687,0,0,0,0,0,62
4,-0.126001,1,0,0,0,0,33
4,-0.126001,1,0,0,0,0,33
3.9,-0.126001,1,0,0,0,0,33
3.3,-0.126001,1,0,0,0,0,33
4.5,-0.2581899,1,0,0,0,0,51
4.5,-0.2581899,1,0,0,0,0,51
4.5,-0.2581899,1,0,0,0,0,51
2.5,-0.2581899,1,0,0,1,0,51
4.3,-0.2581899,1,0,0,0,0,51
4.5,-0.2581899,1,0,0,0,0,51
4.7,0.1496926,1,0,0,0,0,33
3.5,0.1496926,1,0,0,0,0,33
4.5,0.1496926,1,0,0,0,0,33
3.8,0.1496926,1,0,0,0,0,33
4.5,0.1496926,1,0,0,0,0,33
4.3,0.1496926,1,0,0,0,0,33
3.9,0.540917,0,0,0,0,0,47
4.3,0.540917,0,0,0,0,0,47
4.2,0.540917,0,0,0,0,0,47
5,0.540917,0,0,0,1,0,47
5,0.540917,0,0,0,1,0,47
4.6,0.540917,0,0,0,0,0,47
5,0.540917,0,0,0,1,0,47
4.7,0.540917,0,0,0,0,0,47
5,0.540917,0,0,0,1,0,47
2.7,0.2316134,0,1,1,0,0,35
4,0.2316134,0,1,1,0,0,35
4.4,-0.0666737,0,0,0,0,0,37
4.4,-0.0666737,0,0,0,0,0,37
4.3,-0.0666737,0,0,0,0,0,37
3.5,-0.0666737,0,0,0,0,0,37
3.8,0.2168924,0,0,0,0,0,42
3.9,0.2168924,0,0,0,0,0,42
3.7,0.2168924,0,0,0,0,0,42
3.3,0.2168924,0,0,0,0,0,42
4,0.2168924,0,0,0,0,0,42
3.8,0.2168924,0,0,0,0,0,42
4.2,-0.2586962,0,0,1,0,0,49
3.1,-0.2586962,0,0,1,0,0,49
3.6,-0.2586962,0,0,1,0,0,49
3.3,0.5502878,1,0,0,0,0,37
2.9,0.5502878,1,0,0,0,0,37
3.1,0.5502878,1,0,0,0,0,37
4,-0.0620358,0,0,0,1,0,45
4,-0.0620358,0,0,0,1,0,45
4.2,-0.0620358,0,0,0,0,0,45
3.8,-0.0620358,0,0,0,0,0,45
4.3,-0.0620358,0,0,0,1,0,45
4.6,-0.9823852,1,0,0,0,0,56
4.3,-0.9823852,1,0,0,0,0,56
3.6,-0.9823852,1,0,0,0,0,56
4.2,-0.9823852,1,0,0,0,0,56
3.9,-0.054344,0,0,0,0,0,48
4.1,-0.054344,0,0,0,0,0,48
4,-0.054344,0,0,0,1,0,48
4.3,-0.054344,0,0,0,1,0,48
3.9,-0.054344,0,0,0,0,0,48
4.2,-0.054344,0,0,0,1,0,48
4.2,-0.054344,0,0,0,1,0,48
4.9,-0.0680143,1,0,0,1,0,46
4,-0.0680143,1,0,0,0,0,46
4.3,-0.0680143,1,0,0,0,0,46
4.9,-0.0680143,1,0,0,0,0,46
3.9,-0.0680143,1,0,0,0,0,46
4.9,-0.0680143,1,0,0,1,0,46
3.9,-0.0680143,1,0,0,0,0,46
4,-0.0680143,1,0,0,1,0,46
3.5,0.0294137,1,0,0,0,0,57
3.9,0.0294137,1,0,0,0,0,57
4,0.0294137,1,0,0,0,0,57
3.6,0.0294137,1,0,0,0,0,57
3,0.0294137,1,0,0,0,0,57
3,0.0294137,1,0,0,0,0,57
3.6,0.0294137,1,0,0,0,0,57
3.6,0.0294137,1,0,0,0,0,57
3.2,0.0294137,1,0,0,0,0,57
3.9,0.2394859,1,0,0,0,0,52
3.5,0.2394859,1,0,0,0,0,52
3.5,0.2394859,1,0,0,0,0,52
3.1,0.2394859,1,0,0,0,1,52
4.2,0.2394859,1,0,0,0,0,52
3.6,-0.7330914,0,0,0,1,0,62
4.5,-0.7330914,0,0,0,0,0,62
3.7,-0.7330914,0,0,0,1,0,62
3.4,-0.7330914,0,0,0,1,0,62
4.5,-0.1111221,0,0,0,0,0,64
4.6,-0.1111221,0,0,0,0,0,64
4.8,-0.1111221,0,0,0,0,0,64
4.5,-0.1111221,0,0,0,0,0,64
4.4,-0.1111221,0,0,0,0,0,64
4.1,-0.1111221,0,0,0,0,0,64
3.9,1.775517,1,0,0,0,0,34
4.3,-0.3218485,0,0,0,0,0,58
3.5,-0.3218485,0,0,0,1,0,58
4,-0.3218485,0,0,0,0,0,58
4,-0.3218485,0,0,0,1,0,58
4.6,0.2116939,0,1,1,0,0,52
4.6,0.2116939,0,1,1,0,0,52
3.7,0.2116939,0,1,1,0,0,52
3.5,0.2116939,0,1,1,0,0,52
3.6,0.2116939,0,1,1,0,0,52
3.9,0.2116939,0,1,1,0,0,52
4.2,-0.717645,0,0,0,0,0,73
3.2,-0.717645,0,0,0,0,0,73
4.9,-0.717645,0,0,0,0,0,73
4,-0.7326927,0,0,0,0,0,70
3.5,-0.7326927,0,0,0,0,0,70
3.4,-0.7326927,0,0,0,0,0,70
4.2,-0.0102077,0,0,0,0,0,63
3.5,-0.0102077,0,0,0,0,0,63
4.4,-0.0102077,0,0,0,0,0,63
3.7,-0.0102077,0,0,0,0,0,63
3.4,-0.0102077,0,0,0,0,0,63
3,-0.0102077,0,0,0,0,0,63
3.9,-0.923957,0,0,0,0,0,47
2.8,-0.923957,0,0,0,0,0,47
3.7,0.5766805,0,0,0,1,0,39
4.6,0.5766805,0,0,0,0,0,39
4.2,0.5766805,0,0,0,0,0,39
4.4,0.5766805,0,0,0,0,0,39
3.8,-0.0836015,1,1,0,0,0,47
4.1,-0.0836015,1,1,0,1,1,47
3.7,-0.0836015,1,1,0,1,0,47
4.1,-0.0836015,1,1,0,0,0,47
3,-0.0836015,1,1,0,1,0,47
3.2,-0.0836015,1,1,0,1,0,47
2.8,-0.0836015,1,1,0,1,0,47
4.7,-0.0836015,1,1,0,1,1,47
4.2,-0.0836015,1,1,0,1,0,47
3.2,-0.0836015,1,1,0,1,0,47
3.1,-0.0836015,1,1,0,1,0,47
4,-0.0836015,1,1,0,1,0,47
4.2,-1.079558,0,0,0,0,0,54
4.3,-1.079558,0,0,0,0,0,54
3.3,1.040902,1,1,0,0,0,44
4.1,1.040902,1,1,0,0,0,44
3.7,1.040902,1,1,0,0,0,44
3.3,-1.052108,0,1,0,0,0,47
3.8,-1.052108,0,1,0,0,0,47
3.4,-1.052108,0,1,0,0,0,47
4.2,-1.052108,0,1,0,0,0,47
3.8,-1.052108,0,1,0,0,0,47
3.5,-1.052108,0,1,0,0,0,47
3.3,-1.052108,0,1,0,0,0,47
4.3,-0.7277681,0,0,0,0,0,62
4.1,-0.7277681,0,0,0,0,0,62
4.5,-0.3953965,0,0,0,0,0,60
4.5,-0.3953965,0,0,0,0,0,60
4.6,-0.3953965,0,0,0,0,0,60
4.4,-0.3953965,0,0,0,0,0,60
4.1,-0.3953965,0,0,0,0,0,60
4.5,-0.3953965,0,0,0,0,0,60
4.3,-0.3953965,0,0,0,1,0,60
4.4,-0.2377786,0,0,0,0,0,42
4.9,-0.2377786,0,0,0,0,0,42
4.7,-0.2377786,0,0,0,0,0,42
4.6,-0.2377786,0,0,0,0,0,42
4.8,0.274908,0,0,0,1,0,35
4.2,0.274908,0,0,0,0,0,35
4.6,0.274908,0,0,0,1,0,35
4.7,1.970023,1,0,0,0,0,39
4.6,1.970023,1,0,0,0,0,39
3.6,1.970023,1,0,0,1,0,39
3.9,1.05095,0,0,0,0,0,49
4,1.05095,0,0,0,0,0,49
4.4,0.2418185,0,0,0,0,0,61
4.5,0.2418185,0,0,0,1,0,61
4.4,0.2418185,0,0,0,0,0,61
3,1.349395,0,0,0,0,0,33
3.7,1.349395,0,0,0,0,0,33
3.6,-0.2577254,1,0,0,0,0,56
3.1,-0.2577254,1,0,0,0,0,56
3.8,-0.6562689,1,0,0,1,1,50
4.7,-0.6562689,1,0,0,1,1,50
3.8,-0.6562689,1,0,0,0,0,50
3.8,-0.6562689,1,0,0,0,0,50
2.8,-0.6562689,1,0,0,0,0,50
4,-0.6562689,1,0,0,0,0,50
4,-0.6563948,0,0,0,0,0,52
3.5,-0.6563948,0,0,0,0,0,52
3.4,-0.6563948,0,0,0,0,0,52
4,-0.6563948,0,0,0,0,0,52
3.5,-0.6563948,0,0,0,0,0,52
3.8,-0.6563948,0,0,0,0,0,52
4.7,-0.6563948,0,0,0,0,0,52
3.9,-0.6563948,0,0,0,0,0,52
4.5,-0.6563948,0,0,0,0,0,52
4.2,-0.6563948,0,0,0,0,0,52
4.7,-0.6563948,0,0,0,0,0,52
4,-0.6563948,0,0,0,0,0,52
4.8,0.7244775,1,0,0,0,0,33
4.8,0.7244775,1,0,0,0,0,33
4.4,0.7244775,1,0,0,0,0,33
4.7,0.7244775,1,0,0,0,0,33
4.5,0.7244775,1,0,0,0,0,33
4.2,0.6318343,0,0,0,0,0,57
4.4,0.6318343,0,0,0,0,0,57
4.1,0.6318343,0,0,0,0,0,57
4.2,1.070944,1,0,0,1,0,38
4.8,1.070944,1,0,0,0,0,38
4.4,1.070944,1,0,0,0,0,38
4.7,1.070944,1,0,0,0,0,38
4.2,1.070944,1,0,0,1,0,38
4.5,1.070944,1,0,0,0,0,38
3.4,-1.450494,1,0,0,1,0,34
3.7,-1.450494,1,0,0,1,0,34
3.6,-1.450494,1,0,0,0,0,34
3.9,-1.450494,1,0,0,0,0,34
3.9,-1.450494,1,0,0,0,0,34
3.7,1.15588,0,0,0,0,0,34
3,1.15588,0,0,0,1,0,34
3.6,-0.3260148,0,0,0,1,0,32
3.6,-0.3260148,0,0,0,1,0,32
4.3,-0.3260148,0,0,0,0,0,32
4.5,-0.3260148,0,0,0,0,0,32
3.9,0.8846435,1,0,0,0,0,42
4.6,-0.5583452,1,0,0,0,0,43
4.1,-0.5583452,1,0,0,1,0,43
4.2,-0.5583452,1,0,0,1,0,43
4.1,-0.5583452,1,0,0,1,0,43
3.1,-0.5583452,1,0,0,1,0,43
3.6,-0.5583452,1,0,0,1,0,43
4.2,-0.5583452,1,0,0,0,0,43
3,-0.5583452,1,0,0,1,0,43
4.2,-0.5583452,1,0,0,0,0,43
3.4,-0.3415543,0,0,1,1,0,35
3.1,-0.5040575,1,0,0,0,0,62
2.7,-0.5040575,1,0,0,0,0,62
3.9,0.773524,1,0,0,0,0,52
3.9,1.063938,1,0,0,0,0,52
3.6,1.063938,1,0,0,0,0,52
3.7,-1.090389,1,0,0,0,0,52
3.6,-1.090389,1,0,0,0,0,52
4.4,-1.090389,1,0,0,0,0,52
4.3,-1.090389,1,0,0,0,0,52
4.1,-1.090389,1,0,0,0,0,52
3.7,-1.090389,1,0,0,0,0,52
3.6,-1.069162,0,0,0,0,0,64
2.8,-1.069162,0,0,0,0,0,64
4,-1.069162,0,0,0,0,0,64
4.4,-1.069162,0,0,0,0,0,64
3.6,-1.069162,0,0,0,0,0,64
3.7,1.415695,0,0,0,0,0,50
2.9,-1.422919,0,0,0,0,0,60
2.6,-1.422919,0,0,0,0,0,60
4.8,-0.4899626,0,0,0,1,1,43
4.9,-0.4899626,0,0,0,1,1,43
4.3,-0.4899626,0,0,0,1,0,43
4.4,-0.4899626,0,0,0,1,0,43
4.3,-0.4899626,0,0,0,1,1,43
4.7,-0.4899626,0,0,0,1,1,43
4.3,-0.4899626,0,0,0,1,1,43
4.6,-0.4899626,0,0,0,1,0,43
4.9,-0.5835869,0,1,0,1,1,50
4.8,-0.5835869,0,1,0,1,1,50
4.7,-0.5835869,0,1,0,1,1,50
4.8,-0.5835869,0,1,0,1,1,50
4.9,-0.5835869,0,1,0,1,1,50
4.8,-0.5835869,0,1,0,1,1,50
4.8,-0.5835869,0,1,0,1,1,50
5,-0.5835869,0,1,0,1,1,50
4.5,-0.5835869,0,1,0,1,1,50
3.8,0.7566829,0,0,0,0,0,52
3.8,0.7566829,0,0,0,0,0,52
3.8,0.7566829,0,0,0,0,0,52
4,0.7566829,0,0,0,0,0,52
4.2,0.7566829,0,0,0,0,0,52
4.5,0.8808186,0,0,0,1,0,51
4.5,0.8808186,0,0,0,1,0,51
4.6,0.8808186,0,0,0,1,0,51
4.7,0.8808186,0,0,0,1,0,51
4.1,-0.5665014,0,0,0,1,0,38
3.6,-0.5665014,0,0,0,1,0,38
4,-0.5665014,0,0,0,1,0,38
3.4,0.3394037,1,0,0,1,0,47
2.8,-0.1513687,1,1,0,1,0,43
4.1,-1.024997,1,0,0,1,0,38
3.5,-1.024997,1,0,0,1,0,38
3.4,-1.024997,1,0,0,1,0,38
4.1,-1.024997,1,0,0,1,0,38
4.2,-1.024997,1,0,0,1,0,38
4.3,-0.0252444,0,0,0,1,0,43
4.1,-0.0252444,0,0,0,0,0,43
3.4,-0.0252444,0,0,0,0,0,43
3.5,-0.7467875,0,0,0,0,0,57
3.6,-0.7467875,0,0,0,0,0,57
3.7,0.9889485,1,0,0,0,0,51
3,0.9889485,1,0,0,0,0,51
4.6,0.9889485,1,0,0,0,0,51
4,-0.5324199,0,0,0,1,1,45
4.8,-0.5324199,0,0,0,1,0,45
4.6,-0.5324199,0,0,0,1,1,45
3.4,-0.7668921,0,0,0,1,0,57
4.4,-0.7668921,0,0,0,1,0,57
3.6,-0.7668921,0,0,0,1,0,57
3.8,-0.7668921,0,0,0,1,0,57
3.7,-0.7668921,0,0,0,1,0,57
4.7,-0.7668921,0,0,0,1,0,57
4.5,-0.7668921,0,0,0,1,0,57
5,-0.7668921,0,0,0,0,0,57
3.8,-0.7668921,0,0,0,1,0,57
4.1,-0.7668921,0,0,0,1,0,57
4.3,1.154256,1,0,0,1,1,47
4.4,1.154256,1,0,0,1,1,47
4.7,1.154256,1,0,0,1,1,47
3.9,1.154256,1,0,0,1,0,47
4.8,1.232602,1,1,0,1,0,54
4.3,1.232602,1,1,0,1,0,54
4.6,1.232602,1,1,0,1,0,54
3.8,1.232602,1,1,0,1,0,54
5,1.774334,0,0,0,1,0,58
4.9,1.774334,0,0,0,1,0,58
4.6,1.774334,0,0,0,1,0,58
4.6,1.774334,0,0,0,1,0,58
5,1.774334,0,0,0,1,0,58
4.6,1.774334,0,0,0,1,0,58
4.9,1.774334,0,0,0,1,0,58
4,1.773151,0,0,0,1,0,42
3.9,1.773151,0,0,0,0,0,42
4.1,0.7245926,0,0,0,1,0,33
2.9,-1.181626,0,0,0,1,0,62
2.8,-1.181626,0,0,0,1,0,62
2.8,-1.181626,0,0,0,1,0,62
4,-1.181626,0,0,0,0,0,62
3.3,-1.181626,0,0,0,1,0,62
3,-1.181626,0,0,0,1,0,62
3.6,1.769452,1,1,0,1,0,35
3.8,1.769452,1,1,0,1,0,35
3.9,-0.5872612,0,0,0,1,0,61
4.7,-0.0018324,1,0,0,1,0,52
4.7,-0.0018324,1,0,0,1,0,52
3.9,-0.0566766,1,0,1,0,0,60
4.4,-0.0566766,1,0,1,0,0,60
3.6,-0.0566766,1,0,1,0,0,60
4.2,-0.0566766,1,0,1,0,0,60
3.4,-0.0566766,1,0,1,0,0,60
4,-0.0566766,1,0,1,0,0,60
4.2,1.231394,0,0,0,1,0,32
4.4,1.231394,0,0,0,0,0,32
4.5,1.231394,0,0,0,1,0,32
3.2,1.231394,0,0,0,1,0,32
4.3,1.231394,0,0,0,0,0,32
3.3,0.4203998,1,1,1,0,0,42
3.2,0.4203998,1,1,1,0,0,42
4.1,0.4203998,1,1,1,1,1,42
